promo_name;promo_description;promo_type
Скидка на кофе в свою кружку;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqxjqGkw  Покупайте кофе в свою кружку и получайте скидку 20 рублей!  *Акция действует на всех АЗС IRBIS. Акционная номенклатура не участвует в акции «6-я чашка в подарок».   ;stiu
Напиток сокосодержащий Pulpy Апельсин;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqvmKjqR  Напиток сокосодержащий Pulpy Апельсин 0,45 л. за 99 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.08.23 по 30.09.23 при наличии акционного товара в магазине.;stiu
Ночная заправка - тройные бонусы!;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwzrHLB  Уважаемые Клиенты! Ежедневно с 00.00 до 05.00 при заправке любым топливом на городских АЗС получайте тройные бонусы на карту SMART. Акция действует на АЗС по адресам: - АЗС IRBIS, г. Казань, ул. Адоратского, 50В, - АЗС IRBIS, г. Казань, ул. Дубравная, 8А, - АЗС IRBIS, г. Казань, пр. Победы, 194А, - АЗС IRBIS, г. Казань, ул. Ак. Глушко, 8А, - АЗС IRBIS, г. Казань, ул. Космонавтов, 65 к. 1, - АЗС IRBIS, г. Казань, ул. Тихорецкая, 19/2, - АЗС IRBIS, г. Казань, ул. Тэцевская, 223,⁠ - АЗС IRBIS, г. Казань, Сибирский тракт, 40А, - АЗС IRBIS, г. Казань, Сибирский тракт, 50А, - АЗС IRBIS, г. Казань, ул. Декабристов, 81А, - АЗС IRBIS, г. Казань, ул. Миля, 1Б, - АЗС IRBIS, г. Казань, ул. Маршала Чуйкова, 6В, - АЗС IRBIS, г. Казань, ул. Аделя Кутуя, 160Б, - АЗС IRBIS, г. Казань, ул. Техническая, 27, - АЗК IRBIS, с. Сокуры, 29-й км автодороги Казань-Оренбург, - АЗС IRBIS, г. Зеленодольск, ул. Столичная, 34, - АЗС IRBIS, г. Зеленодольск, ул. Гоголя, 7, - АЗС IRBIS, г. Наб. Челны, ул. Металлургическая (Стройбаза), - АЗС IRBIS, г. Наб. Челны, Казанский Проспект, 261, - АГЗС IRBIS, г. Наб. Челны, ул. Машиностроительная, 92, - АЗС IRBIS, г. Наб. Челны, Альметьевский тракт, - АЗС IRBIS, г. Наб. Челны, ул. Раскольникова, 7, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 135А, - АЗС IRBIS, г. Наб. Челны, ул. Промышленная, 134, - АЗС IRBIS, г. Наб. Челны, Набережная Тукая, 2/1, - АЗС IRBIS, г. Наб. Челны, Автозаводский пр-т, 61, - АЗС IRBIS, РТ, с. Большая Шильна, ул. Животноводов, 25, - АЗС IRBIS, РТ, Елабужский район, с. Поспелово, - АЗС IRBIS, г. Лениногорск, ул. Чайковского, 19И, - АЗК IRBIS, 847-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 843-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 810-й км трассы М-7 «Волга» (Москва-Уфа), - АЗК IRBIS, 812-й км трассы М-7 «Волга» (Москва-Уфа), - АЗС IRBIS, г. Чебоксары, Марпосадское шоссе, 30Б, - АЗС ТранзитСити, г. Козловка, ул. Лобачевского, 34, - АЗС IRBIS, 5-й км автодороги Нижнекамск - Набережные Челны, - АЗС IRBIS, 22-й км автодороги Шали - Сорочьи Горы, - АЗС IRBIS, Нижегородская область, Кстовский р-н, д. Афонино, ул. Магистральная, 136Б, - АЗС IRBIS, Нижегородская область, Кстовский р-н, с. Большая Ельня, ул. Магистральная, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, Сернурский тракт, 23, - АЗС IRBIS, РМЭ, г. Йошкар-Ола, ул. Прохорова, 33, - АЗС IRBIS, Самарская обл., г. Самара, ул. Аэродромная, 72Б, - АЗС IRBIS, Самарская обл., г. Самара, ул. Дзержинского, 29А, - АЗС IRBIS, Самарская обл., г. Самара, ул. Физкультурная, 101А, - АЗС IRBIS, Самарская обл., г. Сызрань, ул. Выборгская, 1Б, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Борковская, 69, - АЗС IRBIS, Самарская обл., г. Тольятти, Приморский бульвар, 45В, - АЗС IRBIS, Самарская обл., г. Тольятти, ул Маршала Жукова, 1А, - АЗС IRBIS, Самарская обл., г. Тольятти, ул. Громовой, 88. *** При покупке любых видов бензина и дизельного топлива начисляется 3% от суммы покупки. Скидки по акциям не суммируются. Акция не действует при оплате топливными картами и через сервис ""Яндекс Заправки"".. ";np
6-я шаурма за 1 рубль;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwP2VV1  Совершите покупку 5 (пяти) шт. шаурмы на АЗС IRBIS с использованием бонусной карты SMART и получите 6-ую шаурму всего за 1 рубль!  Акция действует на АЗС по адресам: • АЗС «IRBIS», 148-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 147-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 350-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗС «IRBIS», 233-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗС «IRBIS», 454-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 377-й км трассы М-7 «Волга» (Москва-Уфа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (справа) • АЗК «IRBIS», 611-й км трассы М-7 «Волга» (Москва-Уфа) (слева) • АЗК «IRBIS», 710-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», 734-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Чебоксары, ул. Марпосадское Шоссе, 30б • АЗС «IRBIS», 12-й км автодороги «Вятка» • АЗС «IRBIS», г. Казань, ул. Адоратского, д. 50В • АЗС «IRBIS», г. Казань, ул. Тэцевская, д. 223 • АЗС «IRBIS», г. Казань, ул. Проспект Победы, 194А • АЗС «IRBIS», г. Казань, ул. Ак. Глушко, 8А • АЗС «IRBIS», г. Казань, ул. Дубравная, д. 8А • АЗС «IRBIS», г. Казань, ул. Сибирский тракт, 40А • АЗС «IRBIS», г. Казань, ул. Миля, 1Б • АЗС «IRBIS», РТ, п. Новая Тура • АЗС «IRBIS», г. Зеленодольск, ул. Столичная, 34 • АЗК «Сибнефть», 65-й км трассы Йошкар-Ола - Казань, Республика Марий Эл, пгт. Красногорский • АЗС «IRBIS», 843 км трассы М-7 • АЗС «IRBIS», 810-й км трассы М-7 «Волга» (Москва-Уфа) • АЗС «IRBIS», г. Наб. Челны, Казанский Проспект, 261 • АЗС «IRBIS», 5-й км автодороги Нижнекамск - Набережные Челны  В акции не участвуют товары со скидкой, а также комбообеды.   Подробнее с условиями акции вы можете ознакомиться по ссылке: http://azsirbis.ru/upload/pdf/shaurma_za_rubl.pdf;stiu
6-я пицца за 1 рубль;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqwTY9dH  С 21.08.2023 совершите покупку 5 (пяти) пицц на АЗС IRBIS с использованием бонусной карты SMART и получите 6-ую пиццу за 1 рубль!  Акция действует на АЗС по адресам: • АЗС «IRBIS», г. Казань, ул. Адоратского, д. 50В • АЗС «IRBIS», г. Казань, ул. Сибирский тракт, 50А (п. Нагорный)  В акции не участвуют товары со скидкой, а также комбообеды. ;stiu
Добро пожаловать на первую АЗС в Нижнем Новгороде;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzquzggby  В честь открытия до 25 сентября на станции действует специальное предложение для новых клиентов программы лояльности SMART: кешбэк 3 руб./л при заправке любым видом топливом от 25 литров.  Акция действует с 16.08.23 по 25.09.23 включительно при заправке любым топливом от 25л на АЗС IRBIS по адресу г. Нижний Новгород, ул. Генерала Ивлиева, 33Б. Предложение действительно только для новых клиентов программы лояльности SMART.  Кэшбек в размере 3 руб./л начисляется в виде бонусных баллов на карту лояльности SMART. 1 бонусный балл = 1 рубль. Воспользоваться бонусными баллами, начисленными в рамках данной акции, можно только до 28.09.23 года включительно.   Акция действует только при оплате заправки наличными средствами и банковскими картами. Акция не суммируется с другими предложениями.;np
Кофемания;"Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqvh6Y4X  Уважаемые клиенты, акция «КОФЕМАНИЯ» – 6-я чашка за 1 рубль продолжается в новом удобном формате!   ⁠С 16.10.2017 г. совершите покупку 5-ти любых чашек кофе в минимаркетах при АЗС с использованием бонусной карты SMART или мобильного приложения «АЗС IRBIS» и получите 6-ю чашку за 1 рубль. Скидки по акциям не суммируются, акция не распространяется на комбо-обеды и на кофе приобретенное в свою тару.  Акция не распространяется на покупки кофе в кафе ""Юмарт"". Подробнее об акции http://azsirbis.ru/upload/pdf/Coffemania_pravila.pdf";stiu
Энергетический напиток BURN;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqvm7K1y  Энергетический напиток BURN 0,5 л. за 139 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.08.23 по 30.09.23 при наличии акционного товара в магазине.;stiu
Скидка 1 руб/л на газ на АЗС в Тольятти;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqxGfw4B  До 29 сентября включительно заправляйтесь газом от 10 л на любой АЗС IRBIS в г. Тольятти и получайте скидку -1 рубль с каждого литра!  Срок проведения акции с 28.08.2023 по 29.09.2023 включительно.  *Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами. ;np
Смесь Nutberry Орехи Фрукты Ягоды 100г;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqxFNNzj  Смесь из орехов, фруктов и ягод «Nutberry» 100 гр. в ассортименте за 179 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.08.23 по 30.09.23 при наличии акционного товара в магазине.;stiu
Шоколад «Bucheron» 100 гр. в ассортименте;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzquzyVyZ  Шоколад молочный и горький «Bucheron» 100 гр. в ассортименте за 299 рублей. Только на АЗС IRBIS!  Предложение действительно с 01.08.23 по 30.09.23 при наличии акционного товара в магазине.;stiu
Скидка 50% на горячий шоколад для детей ;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqxf6BRq  Специальное предложение для самых маленьких посетителей АЗС IRBIS - скидка 50% на горячий шоколад! Акция действует для родителей с детьми до 14 лет. Чтобы ей воспользоваться, обратитесь к оператору АЗС.  Будем рады видеть вас на АЗС IRBIS со всей семьей!  ;stiu
ОСЕННИЙ КЕШБЭК;Заправляйтесь АИ-95, АИ-92 или СУГ, покупайте товары кафе или минимаркета и получайте кешбэк до 3 ₽ баллами с каждого литра топлива на карту лояльности «Заправься выгодой».;np
ГОРЯЧИЙ БОНУС;Узнайте, как получить купон на кофе или чай за 1 ₽.;stiu
СКИДКА 50% НА LUKOIL GENESIS;Покупайте на АЗС «ЛУКОЙЛ» канистру моторного масла LUKOIL GENESIS 4 л и получайте скидку 50% на масло объемом 1 л;stiu
Выгода -6Р с литра;"СУПЕР ВЫГОДА, приезжай на АЗС Нефтьмагистраль: -3₽/ c 1 литра* — кешбэк 5% бонусами в программе лояльности Будь в плюсе; -3₽/ c 1 литра — При оплате через Яндекс Заправки** с использованием СБП*** на первые 100 литров топлива; -6₽/ c 1 литра* = ОБЩАЯ ВЫГОДА *Расчет сделан исходя из Золотого уровня в программе лояльности«Будь в плюсе» **Если еще не заправлялись через приложение. ***Подробные условия:https://tanker.s3.yandex.net/3rub_discount_sept.pdf Программа лояльности«Будь в плюсе»от АЗС Нефтьмагистраль — это: 1. Максимальная выгода на топливном рынке Москвы и МО. На Золотом уровне наши клиенты получают: кешбэк 5% бонусами = выгода до -3₽/ c 1 литра* 2. 50% оплата бонусами внутри экосистемы Нефтьмагистраль:товары в магазинах;блюда и напитки в кафе;мойка автомобиля. 3. Выгодные постоянные акции:каждый 6-й кофе — в подарок;каждое 10-е блюдо Гурманика и Магбургер — в подарок. *чтобы перейти на Золотой уровень, нужно заправиться топливом в месяц от 8000₽ *по топливным картам уровень программы лояльности всегда Бронза 3% ___________ *АИ-100 — выгода -3₽ с 1 л АИ-95 — выгода -2,7₽ с 1 л АИ-95EVO — выгода -2,7₽ с 1 л АИ-92 — выгода -2,5₽ с 1 л ДТ — выгода - 3₽ с 1 л СУГ — выгода -1₽ с 1 л КПГ — выгода -1₽ с 1 л *расчет сделан исходя из Золотого уровня в программе лояльности«Будь в плюсе»";np
Получи 60 дней Яндекс Плюс и участвуй в розыгрыше призов!;"Заправляйтесь на АЗС Нефтьмагистраль и совершайте покупки, чтобы открыть для себя удивительный мир кино и музыки и получить шанс выиграть классные призы!  Как это работает?  1. Совершайте покупки от 1000 рублей или заправляйтесь на сумму от 1000 рублей или СУГ от 800 рублей с использованием нашей программы лояльности.  2. Получайте промокод на 60 дней подписки Яндекс Плюс.  3. Активируйте промокод на странице https://ya.cc/nf  4. Получите 60 дней подписки Яндекс Плюс и становитесь участником розыгрыша садовой техники.  5. Следите за результатами розыгрыша на neftm.ru/aktsii/poluchi-60-dney-yandeks-plyus-i-uchastvuy-v-rozygryshe-prizov/  Не упустите возможность сделать свою летнюю дачу еще ярче и получить доступ к развлечениям с Яндекс Плюс. Заправляйтесь на АЗС Нефтьмагистраль и совершайте покупки уже сегодня и выигрывайте! 🚀✨Срок проведения акции: 10.08.2023 по 31.10.2023. Условия подписки на Яндекс Плюс: ya.cc/plus_conditions. 60 дней подписки Яндекс Плюс бесплатно, далее автопродление - 299 руб./мес. Требуется указание данных банковской карты. Активировать промокод можно на сайте plus.yandex.ru/gift. Предложение до 15.10.2023г., но для участия в розыгрыше промокод нужно активировать до 30.09.2023г.. Предложение только для пользователей, не имеющих активную Подписку Яндекс Плюс (или иную, ее включающую). Один пользователь может активировать промокод только один раз. В случае наличия в действиях пользователя на сервисах ООО ""ЯНДЕКС"" и его аффилированных лиц признаков злоупотребления правами и возможностями активация промокода может быть недоступна. Полные правила акции: https://serenity-group.ru/rulneftmagistral Подробнее об акции: neftm.ru/aktsii/poluchi-60-dney-yandeks-plyus-i-uchastvuy-v-rozygryshe-prizov/. Для участия в акции необходимо заправиться в сети АЗС Нефтьмагистраль топливом от 1000 руб. или СУГ от 800 руб., либо совершить покупку в Магбургер от 1000 руб., либо совершить покупку в магазине от 1000 руб. с применением программы лояльности «Будь в плюсе».Реклама ООО ""Серенити Групп"" 4CQwVszH9pUjqCrLRby»";np
Выгодные и удобные покупки!;Успейте воспользоваться нашей потрясающей акцией! При покупке Аэрогриля Galaxy Line GL 2527 или GL2520 черного цвета всего за 5 590 рублей вы получаете совершенно БЕСПЛАТНО Миксер Galaxy GL 2206! Не упустите возможность приобрести высококачественный и многофункциональный аэрогриль, который поможет вам готовить вкусные и здоровые блюда, а также получить мощный миксер для создания самых нежных и однородных смесей. Торопитесь, количество акционных товаров ограничено! Заезжайте к нам и сделайте свою покупку уже сегодня!;stiu
Собирайтесь в школу с ВЫГОДОЙ!;Собирайтесь с АЗС Нефтьмагистраль и подготовьтесь к новому учебному году с максимальной выгодой! При покупке рюкзака TORBER CLASS X, изготовленного из прочного полиэстера 900D, за 3 590 руб.4 590 руб.вы получаете в подарок удобный мешок для сменной обуви TORBER и стильные беспроводные наушники TFN Air Jam в черном или белом цвете. 🎒 Рюкзак TORBER CLASS X - это идеальное сочетание комфорта и функциональности, которое позволит вам организовать все необходимое для успешного обучения. Высококачественный полиэстер 900D обеспечивает прочность и долговечность, а разнообразие цветов позволяет выбрать рюкзак по вашему стилю. 🎒 В подарок мы дарим мешок для сменной обуви TORBER, который поможет вам удобно хранить и переносить дополнительную пару обуви. А беспроводные наушники TFN Air Jam позволят вам наслаждаться любимой музыкой, не запутываясь в проводах. Не упустите уникальную возможность обновить свои школьные принадлежности и получить дополнительные подарки! Посетите АЗС Нефтьмагистраль и воспользуйтесь нашей акцией «Собирайтесь в школу с выгодой!» и БУДЬТЕ В ПЛЮСЕ! 💼🎒🎧 Подготовьтесь к школе с комфортом и стилем!;stiu
Крути колесо фортуны и получай подарки;ВЫ ЛЮБИТЕ ПОДАРКИ? Тогда собирайте фишки, крутите Колесо фортуны и получайте подарки! Да-да, подарки получат все, никто не уйдет без подарка - так устроено Колесо фортуны Нефтьмагистраль! Как это работает? Очень просто: 1. За каждые 300* р. покупок в магазине или кафе мы начисляем вам 1 фишку. 2. Когда вы соберете 25 фишек, вам будет предложено волшебное Колесо фортуны, в котором вы гарантированно получаете подарок, – прямо настоящая рулетка удачи. 3. Вы крутите Колесо фортуны, просто нажав на кнопку, и случайным образом будет выбран и начислен Подарок от нас. 4. Мы подобрали для вас 12 вариантов подарков: от вкусных блюд Гурманика и Магбургер до подарочных бонусов! Участвуйте и получайте подарки! А еще версия Колеса фортуны вам будет предложена при переходе на Золотой Уровень и в день рождения! Все потому, что мы очень ценим и любим своих Клиентов! Спасибо, что выбираете Нефтьмагистраль! *Учитываются покупки оплаченные денежными средствами, кроме табачных изделий и топлива.;stiu
МАГБУРГЕР 24/7 ВКУС. СКОРОСТЬ. КАЧЕСТВО;На наших 60 АЗС Нефтьмагистраль Вы можете попробовать бургеры СОБСТВЕННОГО ПРОИЗВОДСТВА😋Мы тщательно отбираем ингредиенты, чтобы бургеры получались вкусными и сочными 🍔Готовим из 100% мраморной говядины 🥩, выпекаем мягкие булочки, отбираем свежие овощи и подаём это всё под фирменными соусами 😋Каждый 10-й бургер идёт в ПОДАРОК🎁Кроме бургеров у нас есть хот-доги🌭, большие сытные роллы 🌯 и шаурма 🫔 на любой вкус🤩Вы уже предвкушаете это идеальное сочетание всех ингредиентов❓👀Ждём Вас на АЗС Нефтьмагистраль⛽💫;stiu
Мойка за бонусы;Платите бонусами - просто и очень быстро. На мойках НЕФТЬМАГИСТРАЛЬ лучшее немецкое оборудование и моечная химия! Как это работает: Шаг 1. Находясь на АЗС, войдите в приложении в раздел АЗС, нажмите ОПЛАТИТЬ МОЙКУ.Шаг 2. Выберите пост, на который поставили автомобиль (номер поста указан прямо на моечном аппарате), и сумму бонусов, которую желаете списать.Шаг 3. Выберите СПОСОБ ОПЛАТЫ и далее БОНУСАМИ, нажмите ОПЛАТИТЬ МОЙКУ.С заботой о Вас, НЕФТЬМАГИСТРАЛЬ 🤗;stiu
10-е блюдо Гурманика в ПОДАРОК;При покупке 9 блюд в категории готовая еда «Гурманика» каждое 10-е блюдо — в ПОДАРОК!🎁😋📲Как накапливать в мобильном приложении блюда по программе 9+1: при покупке блюда покажите на кассе QR-код, который находится в мобильном приложении.🎁Как получить подарочное блюдо:при зачислении 9 блюд предъявите на кассе QR-код, который находится в мобильном приложении, и выберите любое блюдо из готовой продукции «Гурманика», которое будет в наличии.Ждём Вас на АЗС Нефтьмагистраль💫;stiu
Время скидок с 22:00 до 05:00 на АЗС;⏰ Время скидок! -40% на продукцию Гурманика❗️ Мы знаем, как гости любят нашу продукцию, именно поэтому мы стараемся для вас! 🧑‍🍳У нас всегда свежая, качественная и здоровая еда! 🍜🍲🥗Каждый день с 22:00 до 05:00 мы делаем скидку -40% на продукцию Гурманики! 🤩Приезжайте на АЗС Нефтьмагистраль, покупайте за бонусы и наслаждайтесь! *Предложение действует только в категории «Готовая еда». Не распространяется на кофе и напитки.;stiu
Скидка -20% на самовывоз;Ежедневно при заказе любимых блюд самовывозом СКИДКА -20% Мы сделали СКИДКУ на весь ассортимент: бургеры, хот-доги, готовая линейка блюд «Гурманика», в которой вы можете собрать полноценный обед,а также вкуснейший свежесваренный кофе из 100% арабикии горячий чай. Сделайте заказ* онлайн через приложение«Гурманика доставка»и выберите «самовывоз»в способах получения. Забирайте заказ со скидкой -20% в любом удобном пункте самовывоза – быстро и выгодно! *Стоимость блюд в мобильном приложении указывается сразу со скидкой;stiu
Вкусная еда с доставкой на дом;Любителям вкусной еды посвящается! Пусть вам будет вкусно там, где вы находитесь: мы привезем ваши любимые бургеры Магбургер и еду Гурманика домой, в офис или на дачу. И пусть вам будет выгодно, потому что мы сделаем вам скидку 50% на первый заказ. Скачивайтемобильное приложениеГурманика, вводите промокод ВКУСНО и получайте скидку 50% на первый заказ. Или заказывайте самовывоз со скидкой 20%Мобильное приложениеГурманика – выгодная доставка вкусной и свежей еды от Нефтьмагистраль. Всего 60-90 минут – и вкусная полезная еда у вас на столе (дома или в офисе). Также вы можете самостоятельно получить заказ в ближайшем пункте самовывоза к нужному времени⏰ Карта с зонами доставки постоянно расширяется, следите за новостями – скоро нашсервисбудет доступен в каждом районе!;stiu
День Бургера;Ммм, наши бургеры такие сочные и аппетитные! А 27 числа каждого месяца – вдвойне! Покупай любой бургер и забирай второй такой же бургер – в подарок!* Чек может быть оплачен в том числе бонусами по программе лояльности «БУДЬ В ПЛЮСЕ». Покупка в рамках предложения ДЕНЬ БУРГЕРАне может быть просуммирована с акцией 9+1. *Предложение действительно в бургерных Магбургер. *Предложение не действует при заказе черезмобильное приложение Гурманика. *В акции не участвует чизбургер и гамбургер.;stiu
Повышаем бонусы на топливо;ЕЩЕ БОЛЬШЕ БОНУСОВ – начисляем 3% от суммы заправки при оплате с помощью топливной карты c 10.08.2019 г.! Больше бонусов – Больше сервисов! Платите бонусами до 50% покупок в магазинах, ресторанах и на мойках у нас на АЗС! Подробнее – в описании акции БУДЬ В ПЛЮСЕ.Мы всегда вам рады!;np
Наслаждайся вкусом;"Вторая бутылка ""Ильинские лимонады"" с выгодой 40%";stiu
В 1,5 раза больше Баллов!;При обмене фиксированных пакетов миль «Аэрофлот Бонус» на Баллы Программы лояльности «Семейная команда».;stiu
Выгода за фишки;Воспользуйтесь возможностью приобрести коллекцию товаров «Diardi» и «Driver» с выгодой до 60%.;stiu
1 книга в подарок и скидка 20%!;1 книги из разножанровой подборки в подарок и скидка 20%* на каталог.;stiu
Дальнобой;Мы рады сообщить о запуске акции для водителей большегрузного транспорта!;stiu
Для бодрой поездки;Энергетический напиток Ред Булл за 139 рублей;stiu
Выгодная заправка в августе!;"При покупке любого объёма нефтепродуктов    с предъявлением дисконтных карт «Альтернатива», «Альтернатива. Такси»    предоставляется скидка: - на АИ-92, АИ-92 ЭКО, АИ-95, АИ-98, ДТЕ, ДТЛ, в размере 1 руб./л.;   - на СУГ в размере 2 руб./л.    Акция действует до: 20.08.23   Полные правила акции.";np
Выгодная скидка в августе!;"При покупке любого объёма нефтепродуктов        с предъявлением дисконтных карт «Альтернатива», «Альтернатива. Такси»    предоставляется скидка:    - на АИ-92, АИ-92 ЭКО, АИ-95, АИ-98, ДТЕ, ДТЛ, в размере 50 коп./л ;    - на СУГ в размере 2 руб./л.     Акция действует до: 31.08.23   Полные правила акции.";np
"Выгода с ""Командной игрой"" в Августе!";"Сеть ООО ""ТАИФ-НК АЗС"" и ООО Банк «Аверс» проводят совместную Акцию   с повышенной скидкой на топливо — при оплате моторного топлива картой Банка ""Аверс"",   клиенту предоставляется повышенная скидка:       Участник акции, в период её проведения, приобретая в сети «ТАИФ-НК АЗС» любой объем моторного топлива    путем совершения расходных операций по своему банковскому счету с использованием банковской карты,    эмитированной ООО Банк «Аверс», получает скидку на:      АИ-92, АИ-92 ЭКО, АИ-95, АИ-98, ДТЕ и ДТЛ в размере 50 коп./л,    на СУГ в размере 2,2 руб/л.    Акция действует на всех АЗС сети ООО «ТАИФ-НК АЗС».    Период проведения акция по 31.08.2023 г.  Правила акции.";np
Скидки для водителей ЯндексGo!;"Рады сообщить, что мы продолжаем акцию специально для водителей ""Яндекс.GO"".    Скидка «Яндекс.GO» предоставляется предъявителем    штрих-кода мобильного приложения «Яндекс.PRO»   в размере:   - 50 коп./л на все топливо;   - 2 руб./л на СУГ.     Скидка предоставляется предъявителям штрих-кода мобильного приложения ""Яндекс.PRO"". Оплатить можно наличными или банковской картой.    Штрих-код действует до 31.08.2023 г.  Правила акции";np
Выгода с 2GIS в августе!;"Мы продолжаем акцию специально для пользователей приложения ""2GIS"".      Скидка предоставляется предъявителям штрих-кода мобильного приложения «2GIS» в размере    50 коп./л. на любой объём нефтепродуктов!    2 руб./л.на СУГ!     Скидка предоставляется предъявителям штрих-кода мобильного приложения ""2GIS"".    Оплатить можно наличными или банковской картой.     Штрих-код действует до 31.08.2023 г.  Правила акции";np
Заправляем впечатлениями;"Сочи, Калининград, Байкал или Алтай — выбирайте то, что вам по душе! Чтобы отправиться в путешествие мечты и поучаствовать в розыгрыше призов, нужно только:
👉 быть участником программы лояльности «Клуб Чемпионов»;
👉 Зарегистрироваться на сайте promo-tatneft.ru;
👉 Заправиться от 20 литров топлива и купить товары от 200 рублей на наших АЗС. Чеки в личный кабинет загружаются автоматически в течение 2 дней с момента совершения покупки;
👉 С помощью броска кубиками выбрать команду «Красных» или «Зеленых».
С 22 августа по 17 октября 2023 года команды соревнуются в количестве покупок: общая сумма литров и товаров равняется сумме баллов, которые участник внесет в зачет своей команды.
Раз в неделю мы будем выбирать один из коллективов, который победил за эти 7 дней. Все покупки суммируются в общем зачете, а самые активные участники получат дополнительные призы.
Главные призы акции - яркие летние путешествия номиналом до 140 000 рублей в живописное место или атмосферный город России. Вы сможете им воспользоваться в течение года с момента получения сертификата.
Еще мы разыгрываем крутые дополнительные призы среди конкурсантов разных команд. С полными правилами конкурса и подарками вы можете ознакомиться по ссылке: promo-tatneft.ru
Открывайте новые маршруты вместе с АЗС «Татнефть» 💚
Положение акции
Общий срок проведения акции: с 22 августа по 24 октября 2023 года.
Срок совершения покупок: с 22 августа по 17 октября 2023 года";stiu
Главное на АЗС;"Внимание, конкурс! Главное на АЗС 

Подписывайтесь на наше сообщество ВКонтакте и получайте бонусы на карту лояльности «Клуба Чемпионов», которые можно потратить на топливо и другие товары на наших АЗС.

Правила конкурса — простые и немного творческие! Вам нужно:
 Подписаться на официальный аккаунт сети АЗС «Татнефть» в социальной сети ВКонтакте
 Поставить лайк конкурсному посту
 Продолжить фразу в комментариях под этим конкурсным постом на тему «Главное на АЗС для меня —…».

Общий призовой фонд конкурса — 18 000 бонусов на карту лояльности «Клуб Чемпионов»:
 500 бонусов — 6 победителей;
 1 000 бонусов — 6 победителей;
 3 000 бонусов — 3 победителя.

Победителей конкурса определим с помощью генератора случайных чисел. Дата подведения итогов — 12 сентября 2023 года.

Выигрывайте вместе с нами! 
Положение конкурса";stiu
Скидка 25% на кофе при заправке по IRBIS Pay;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2Vtzqvak65D  Получайте скидку 25% на покупку кофе при заправке с помощью смартфона!  Заправьтесь любым видом топлива при помощи IRBIS Pay и получите купон на любой кофе со скидкой 25%.Чтобы приобрести товар, предъявите бонусную карту SMART (QR-код мобильного приложения) оператору АЗС.  Сроки проведения акции: с 01.09.23 по 30.09.23 включительно.;np
Скидка 1 руб/л на газ на АЗС в Тольятти;Реклама. Рекламодатель ИП Гаптельхаков Р.Н. ИНН 165800505466, ERID: 2VtzqxGfw4B  До 29 сентября включительно заправляйтесь газом от 10 л на любой АЗС IRBIS в г. Тольятти и получайте скидку -1 рубль с каждого литра!  Срок проведения акции с 28.08.2023 по 29.09.2023 включительно. Акция действует только при оплате банковской картой или наличными средствами на кассах АЗС.  *Предложение не суммируется с другими акциями и не действует при оплате бонусными баллами. ;np
